Ontology -  all instances of class from New SmartTable with Growth-Media	Matches	Composition	PLATE-ID	Observed-Growth	Object ID	Common-Name	WELL-ID	Summary
MIX0-449	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // AMMONIUM // NA+ // CL- // CPD0-2459 // ACET		OBS0-252 // OBS0-130 // OBS0-249 // OBS0-30 // OBS0-103 // OBS0-59 // OBS0-57	MIX0-449	PMA carbon source test + acetate	C8	
MIX0-487	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // AMMONIUM // NA+ // CL- // CPD0-2459 // 3-KETOBUTYRATE		OBS0-290 // OBS0-250 // OBS0-130 // OBS0-247 // OBS0-28 // OBS0-102 // OBS0-59 // OBS0-57	MIX0-487	PMA carbon source test + acetoacetate	G7	
MIX0-589	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // AMMONIUM // NA+ // CL- // CPD0-2459 // ACETOIN		OBS0-309 // OBS0-253 // OBS0-245 // OBS0-29 // OBS0-104	MIX0-589	PMA carbon source test + acetoin	H12	
MIX0-471	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // AMMONIUM // NA+ // CL- // CPD0-2459 // ADENOSINE		OBS0-252 // OBS0-132 // OBS0-249 // OBS0-30 // OBS0-103 // OBS0-59 // OBS0-57	MIX0-471	PMA carbon source test + adenosine	E12	
MIX0-486	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // AMMONIUM // NA+ // CL- // CPD0-2459 // L-ALPHA-ALANINE		OBS0-252 // OBS0-130 // OBS0-249 // OBS0-30 // OBS0-103 // OBS0-59 // OBS0-57	MIX0-486	PMA carbon source test + ala	G5	
MIX0-772	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // AMMONIUM // NA+ // CL- // CPD0-2459 // ALA-GLY		OBS0-252 // OBS0-130 // OBS0-249 // OBS0-30 // OBS0-103 // OBS0-59 // OBS0-57	MIX0-772	PMA carbon source test + ala-gly	G6	
MIX0-505	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // AMMONIUM // NA+ // CL- // CPD0-2459 // CPD-3782		OBS0-253 // OBS0-245 // OBS0-28 // OBS0-104	MIX0-505	PMA carbon source test + &alpha;-cyclodextrin	A3	
MIX0-450	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // AMMONIUM // NA+ // CL- // CPD0-2459 // ALPHA-GLUCOSE		OBS0-252 // OBS0-132 // OBS0-249 // OBS0-30 // OBS0-103 // OBS0-59 // OBS0-57	MIX0-450	PMA carbon source test + &alpha;-D-glucose	C9	
MIX0-466	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // AMMONIUM // NA+ // CL- // CPD0-2459 // GLC-1-P		OBS0-252 // OBS0-132 // OBS0-249 // OBS0-30 // OBS0-103 // OBS0-59 // OBS0-57	MIX0-466	PMA carbon source test + &alpha;-D-glucose 1-phosphate	E3	
MIX0-793	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // AMMONIUM // NA+ // CL- // CPD0-2459 // CPD-13414		OBS0-273 // OBS0-250 // OBS0-130 // OBS0-247 // OBS0-28 // OBS0-101 // OBS0-59 // OBS0-57	MIX0-793	PMA carbon source test + &alpha;-hydroxyglutarate-&gamma;-lactone	E6	
MIX0-510	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // AMMONIUM // NA+ // CL- // CPD0-2459 // Inulin		OBS0-253 // OBS0-245 // OBS0-28 // OBS0-104	MIX0-510	PMA carbon source test + an inulin	A9	
MIX0-514	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // AMMONIUM // NA+ // CL- // CPD0-2459 // N-acetyl-D-galactosamine		OBS0-253 // OBS0-245 // OBS0-28 // OBS0-104	MIX0-514	PMA carbon source test + an N-acetyl-D-galactosamine	B1	
MIX0-571	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // AMMONIUM // NA+ // CL- // CPD0-2459 // ARG		OBS0-253 // OBS0-245 // OBS0-28 // OBS0-104	MIX0-571	PMA carbon source test + arg	G4	
MIX0-454	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // AMMONIUM // NA+ // CL- // CPD0-2459 // ASN		OBS0-252 // OBS0-130 // OBS0-249 // OBS0-209 // OBS0-30 // OBS0-101 // OBS0-59 // OBS0-57	MIX0-454	PMA carbon source test + asn	D1	
MIX0-425	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // AMMONIUM // NA+ // CL- // CPD0-2459 // L-ASPARTATE		OBS0-252 // OBS0-130 // OBS0-249 // OBS0-30 // OBS0-103 // OBS0-59 // OBS0-57	MIX0-425	PMA carbon source test + asp	A7	
MIX0-506	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // AMMONIUM // NA+ // CL- // CPD0-2459 // CPD-3781		OBS0-292 // OBS0-253 // OBS0-245 // OBS0-29 // OBS0-104	MIX0-506	PMA carbon source test + &beta;-cyclodextrin	A4	
MIX0-526	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // AMMONIUM // NA+ // CL- // CPD0-2459 // CPD-3605		OBS0-298 // OBS0-254 // OBS0-245 // OBS0-28 // OBS0-104	MIX0-526	PMA carbon source test + &beta;-gentiobiose	C1	
MIX0-498	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // AMMONIUM // NA+ // CL- // CPD0-2459 // L-LYXOSE		OBS0-286 // OBS0-252 // OBS0-131 // OBS0-249 // OBS0-29 // OBS0-102 // OBS0-59 // OBS0-57	MIX0-498	PMA carbon source test + &beta;-L-lyxopyranose	H6	
MIX0-779	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // AMMONIUM // NA+ // CL- // CPD0-2459 // CPD-13405		OBS0-252 // OBS0-130 // OBS0-249 // OBS0-30 // OBS0-103 // OBS0-59 // OBS0-57	MIX0-779	PMA carbon source test + bromosuccinate	F6	
MIX0-548	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // AMMONIUM // NA+ // CL- // CPD0-2459 // CPD-3617		OBS0-253 // OBS0-245 // OBS0-28 // OBS0-104	MIX0-548	PMA carbon source test + caprate	E1	
MIX0-480	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // AMMONIUM // NA+ // CL- // CPD0-2459 // CELLOBIOSE		OBS0-277 // OBS0-250 // OBS0-130 // OBS0-247 // OBS0-28 // OBS0-101 // OBS0-58 // OBS0-57	MIX0-480	PMA carbon source test + cellobiose	F11	
MIX0-504	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // AMMONIUM // NA+ // CL- // CPD0-2459 // Chondroitin-Sulfate-C		OBS0-253 // OBS0-245 // OBS0-28 // OBS0-104	MIX0-504	PMA carbon source test + chondroitin sulfate C	A2	
MIX0-550	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // AMMONIUM // NA+ // CL- // CPD0-2459 // 2-METHYLMALEATE		OBS0-253 // OBS0-245 // OBS0-28 // OBS0-104	MIX0-550	PMA carbon source test + citraconate	E3	
MIX0-791	Phenotype-Microarray-Media	CPD-14325 // CPD0-2459 // CL- // NA+ // AMMONIUM // Pi // PROTON // MG+2 // K+ // FE+3 // SULFATE		OBS0-253 // OBS0-245 // OBS0-28 // OBS0-104	MIX0-791	PMA carbon source test + citramalate	E4	
MIX0-472	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // AMMONIUM // NA+ // CL- // CPD0-2459 // CIT		OBS0-383 // OBS0-274 // OBS0-250 // OBS0-130 // OBS0-247 // OBS0-28 // OBS0-101 // OBS0-59 // OBS0-57	MIX0-472	PMA carbon source test + citrate	F2	
MIX0-427	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // AMMONIUM // NA+ // CL- // CPD0-2459 // D-ALANINE		OBS0-252 // OBS0-130 // OBS0-249 // OBS0-30 // OBS0-103 // OBS0-59 // OBS0-57	MIX0-427	PMA carbon source test + D-alanine	A9	
MIX0-516	Phenotype-Microarray-Media	D-Allose // SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // AMMONIUM // NA+ // CL- // CPD0-2459		OBS0-255 // OBS0-246 // OBS0-30 // OBS0-105	MIX0-516	PMA carbon source test + D-allose	B3	
MIX0-518	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // AMMONIUM // NA+ // CL- // CPD0-2459 // D-ARABINOSE		OBS0-253 // OBS0-245 // OBS0-28 // OBS0-104	MIX0-518	PMA carbon source test + D-arabinose	B5	
MIX0-519	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // AMMONIUM // NA+ // CL- // CPD0-2459 // CPD-355		OBS0-253 // OBS0-245 // OBS0-28 // OBS0-104	MIX0-519	PMA carbon source test + D-arabitol	B6	
MIX0-455	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // AMMONIUM // NA+ // CL- // CPD0-2459 // CPD-302		OBS0-250 // OBS0-130 // OBS0-247 // OBS0-28 // OBS0-101 // OBS0-59 // OBS0-55	MIX0-455	PMA carbon source test + D-aspartate	D2	
MIX0-448	Phenotype-Microarray-Media	CPD0-2459 // CL- // NA+ // AMMONIUM // Pi // PROTON // MG+2 // K+ // FE+3 // SULFATE // BETA-D-FRUCTOSE		OBS0-252 // OBS0-132 // OBS0-249 // OBS0-30 // OBS0-103 // OBS0-59 // OBS0-57	MIX0-448	PMA carbon source test + D-fructose	C7	
MIX0-467	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // AMMONIUM // NA+ // CL- // CPD0-2459 // FRUCTOSE-6P		OBS0-252 // OBS0-132 // OBS0-249 // OBS0-30 // OBS0-103 // OBS0-59 // OBS0-57	MIX0-467	PMA carbon source test + D-fructose-6-phosphate	E4	
MIX0-524	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // AMMONIUM // NA+ // CL- // CPD0-2459 // D-Fucoses		OBS0-297 // OBS0-253 // OBS0-245 // OBS0-29 // OBS0-104	MIX0-524	PMA carbon source test + D-fucose	B11	
MIX0-430	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // AMMONIUM // NA+ // CL- // CPD0-2459 // GALACTITOL		OBS0-289 // OBS0-250 // OBS0-131 // OBS0-247 // OBS0-29 // OBS0-101 // OBS0-59 // OBS0-57	MIX0-430	PMA carbon source test + D-galactitol	A12	
MIX0-444	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // AMMONIUM // NA+ // CL- // CPD0-2459 // D-GALACTONO-1-4-LACTONE		OBS0-252 // OBS0-132 // OBS0-249 // OBS0-30 // OBS0-103 // OBS0-59 // OBS0-57	MIX0-444	PMA carbon source test + D-galactono-1,4-lactone	C2	
MIX0-424	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // AMMONIUM // NA+ // CL- // CPD0-2459 // D-Galactose		OBS0-252 // OBS0-132 // OBS0-249 // OBS0-30 // OBS0-103 // OBS0-59 // OBS0-57	MIX0-424	PMA carbon source test + D-galactose	A6	
MIX0-501	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // AMMONIUM // NA+ // CL- // CPD0-2459 // D-GALACTURONATE		OBS0-252 // OBS0-132 // OBS0-249 // OBS0-30 // OBS0-103 // OBS0-59 // OBS0-57	MIX0-501	PMA carbon source test + D-galacturonate	H10	
MIX0-422	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // AMMONIUM // NA+ // CL- // CPD0-2459 // D-GLUCARATE		OBS0-252 // OBS0-132 // OBS0-249 // OBS0-30 // OBS0-103 // OBS0-59 // OBS0-57	MIX0-422	PMA carbon source test + D-glucarate	A4	
MIX0-436	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // AMMONIUM // NA+ // CL- // CPD0-2459 // GLUCONATE		OBS0-252 // OBS0-132 // OBS0-249 // OBS0-30 // OBS0-103 // OBS0-59 // OBS0-57	MIX0-436	PMA carbon source test + D-gluconate	B6	
MIX0-551	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // AMMONIUM // NA+ // CL- // CPD0-2459 // GLUCOSAMINE		OBS0-255 // OBS0-246 // OBS0-30 // OBS0-105	MIX0-551	PMA carbon source test + D-glucosamine	E5	
MIX0-443	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // AMMONIUM // NA+ // CL- // CPD0-2459 // Glucose-6-phosphate		OBS0-252 // OBS0-132 // OBS0-249 // OBS0-30 // OBS0-103 // OBS0-59 // OBS0-57	MIX0-443	PMA carbon source test + D-glucose-6-phosphate	C1	
MIX0-435	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // AMMONIUM // NA+ // CL- // CPD0-2459 // GLUCURONATE		OBS0-252 // OBS0-132 // OBS0-249 // OBS0-30 // OBS0-103 // OBS0-59 // OBS0-57	MIX0-435	PMA carbon source test + D-glucuronate	B5	
MIX0-441	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // AMMONIUM // NA+ // CL- // CPD0-2459 // MANNITOL		OBS0-252 // OBS0-132 // OBS0-249 // OBS0-30 // OBS0-103 // OBS0-59 // OBS0-57	MIX0-441	PMA carbon source test + D-mannitol	B11	
MIX0-429	Phenotype-Microarray-Media	CPD0-2459 // CL- // NA+ // AMMONIUM // Pi // PROTON // MG+2 // K+ // FE+3 // SULFATE // CPD-13559		OBS0-252 // OBS0-132 // OBS0-249 // OBS0-30 // OBS0-103 // OBS0-59 // OBS0-57	MIX0-429	PMA carbon source test + D-mannose	A11	
MIX0-497	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // AMMONIUM // NA+ // CL- // CPD0-2459 // Ket0-D-Psicose		OBS0-251 // OBS0-132 // OBS0-247 // OBS0-30 // OBS0-101 // OBS0-58 // OBS0-57	MIX0-497	PMA carbon source test + D-psicose	H5	
